"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 07 00:40:40 GMT 2023","Sat Jan 07 00:40:48 GMT 2023","7290","","searching something in google","","","","Navigate google (example #1)",""
"failed","Sat Jan 07 00:41:19 GMT 2023","Sat Jan 07 00:41:35 GMT 2023","15779","","searching something in google","","","","Navigate google (example #2)",""
