"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jan 07 00:35:15 GMT 2023","Sat Jan 07 00:35:31 GMT 2023","15712","","searching something in google","","","","Navigate google (example #2)",""
"passed","Sat Jan 07 00:34:38 GMT 2023","Sat Jan 07 00:34:46 GMT 2023","7711","","searching something in google","","","","Navigate google (example #1)",""
