"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 29 06:06:43 GMT 2022","Thu Dec 29 06:06:49 GMT 2022","5686","","searching something in google","","","","Navigate google (example #1)",""
"failed","Thu Dec 29 06:07:24 GMT 2022","Thu Dec 29 06:07:39 GMT 2022","14805","","searching something in google","","","","Navigate google (example #2)",""
